,ct1,ct2,ch1,ch2,di,dj,dk,vwi,vwj,cost
vanilla,0.010446408774825465,,,,,,,,,3.8010221672209186
custom,0.010495005055437066,0.0006491355209757032,,,,,,,,3.8010139593963945
vanilla_dk,0.01066095701764433,,,,,,0.9271665916703523,,,3.7507236618695563
custom_with_dk,0.0053581956620052384,-0.07253941126310992,,,,,1.9778434251984474,,,3.703374464585872
ai_nodrag,,,,,,,,,,0.5965197238302723
ai_drag,,,,,1.065001416213136,,,,,0.5582885831142428
ai_h,,,-0.00018250226320708218,-0.29261360554277127,,,,,,0.5555898785993002
ai_drag_and_h,,,-0.007281566743383726,-0.2717841023360811,0.4448015754758232,,,,,0.5544511984871419
aj_nodrag,,,,,,,,,,1.0472061273189293
aj_drag,,,,,,0.1918593492655275,,,,0.7680734975886679
aj_h,,,0.007473310426803099,-0.14738665013383,,,,,,0.7182850399806769
aj_drag_and_h,,,0.006161897817012943,-0.14327667232657412,,0.017994511787646487,,,,0.7178421967148572
aij_h,,,0.007559427208957431,-0.14902411143779126,,,,,,0.9090372102460109
aij_h_and_drag,,,0.005430280323524276,-0.1491435472116984,0.32695193628835734,0.019938963124441593,,,,0.9073314185809888
aij_h_drag_equal_coeffs,,,0.007156562397655143,-0.1471348466044704,0.006402813484562703,0.006402813484562703,,,,0.9089837491883889
global,0.005324040038355073,-0.07277410737580443,0.00832090320733373,-0.1308410906239785,0.054886680300523495,0.008246289981057142,0.9501250002981169,,,0.26024593475172875
global_equal_coeffs,0.005349246964298606,-0.07239893085102417,0.002699772501952828,-0.1031689009394245,-0.006985344847406312,-0.006985344847406312,0.5003254929837826,,,0.2602600317563062
global_wind,0.0052141109982204855,-0.07427483459553509,0.011265851877127567,-0.13028624415432374,-0.016590088210837076,-0.016590088210837076,0.9670627563381075,-0.12214852131110172,0.0440771983571986,0.2601397543776513
